column_name,feature_group,description
ambient_temperature_Tatm_degF,recommended_feature,Ambient disturbance variable available in both normal scenarios.
feed_temperature_T1_degF,recommended_feature,Fresh feed temperature before the reactor train.
reactor_inlet_feed_temperature_T2_degF,recommended_feature,Temperature of feed entering the reactor.
reactor_riser_temperature_Tr_degF,recommended_feature,Main reactor temperature proxy aligned with the project document.
regenerator_temperature_Treg_degF,recommended_feature,Core FCCU thermal state variable.
reactor_pressure_P4_psia,recommended_feature,Reactor pressure state.
regenerator_minus_reactor_pressure_deltaP_psig,recommended_feature,Pressure difference related to circulation and fault scenarios.
regenerator_pressure_P6_psia,recommended_feature,Regenerator pressure state.
regenerator_total_air_flow_Fair_mol_s,recommended_feature,Total regenerator air flow.
furnace_firebox_temperature_T3_degF,recommended_feature,Heating-system state variable.
standpipe_catalyst_level_Lsp_ft,recommended_feature,Catalyst inventory proxy.
stack_gas_temperature_Tcyc_degF,recommended_feature,Stack gas thermal response.
stack_gas_minus_regenerator_temperature_Tcyc_Treg_degF,recommended_feature,Temperature-difference feature from source data.
stack_gas_co_Cco_g_ppm,recommended_feature,Combustion quality indicator.
stack_gas_o2_Co2_g_mol_pct,recommended_feature,Oxygen concentration indicator.
fractionator_overhead_pressure_P5_psia,recommended_feature,Downstream fractionator pressure state.
regenerated_catalyst_flow_Frgc_lb_min,recommended_feature,Regenerated catalyst circulation feature.
spent_catalyst_flow_Fsc_lb_min,recommended_feature,Spent catalyst circulation feature.
combustion_air_blower_current_ACAB_amp,recommended_feature,Equipment loading signal for the air blower.
wet_gas_compressor_current_AWGC_amp,recommended_feature,Equipment loading signal for the wet gas compressor.
furnace_fuel_flow_F5_scf_min,recommended_feature,Fuel input to the furnace.
combustion_air_flow_F7_lb_min,recommended_feature,Combustion air flow input.
wet_gas_compressor_suction_valve_flow_FV11_mol_min,recommended_feature,Wet gas compressor suction-valve flow measurement.
cab_suction_pressure_P1_psia,recommended_feature,CAB suction pressure state.
cab_discharge_pressure_P2_psia,recommended_feature,CAB discharge pressure state.
reflux_flow_Freflux_lb_min,recommended_feature,Fractionator recycle stream useful for dynamic response modeling.
fractionator_overhead_temperature_Tfra_degF,recommended_feature,Overhead fractionator temperature.
fractionator_mid_temperature_T10_degF,recommended_feature,Mid-stage fractionator temperature.
fractionator_bottom_temperature_T20_degF,recommended_feature,Bottom-stage fractionator temperature.
valve_fractionator_pressure_V4_pct,recommended_feature,Pressure controller opening.
valve_regenerator_temperature_V6_pct,recommended_feature,Regenerator temperature controller opening.
valve_regenerator_pressure_V7_pct,recommended_feature,Regenerator pressure controller opening.
valve_reactor_inventory_V3_pct,recommended_feature,Reactor inventory controller opening.
valve_preheated_feed_temperature_V1_pct,recommended_feature,Preheated feed temperature controller opening.
valve_reactor_temperature_V2_pct,recommended_feature,Reactor temperature controller opening.
valve_accumulator_level_V9_pct,recommended_feature,Accumulator level controller opening.
valve_fractionator_temperature_V8_pct,recommended_feature,Fractionator temperature controller opening.
valve_heavy_naphtha_temperature_V10_pct,recommended_feature,Heavy naphtha temperature controller opening.
valve_light_naphtha_temperature_V11_pct,recommended_feature,Light naphtha temperature controller opening.
